Algorithm,Fitness,Simplicity,Generalization
Alpha Miner,0.41989689325938545,0.41904761904761906,0.8552671808747483
Heuristic Miner,0.889210536697694,0.4768310911808669,0.6056803364683485
Inductive Miner,1.0,0.5946547884187082,0.8616797985629043
